date,forecast_var,actual_var,target,log_forecast
2023-01-03,2.5934216301162026e-05,1.7799143127548947e-05,-10.936360240726694,-10.559947368424995
2023-01-04,3.0929629156394824e-05,5.91442262685684e-05,-9.73553158399367,-10.38379596110979
2023-01-05,3.884905514851707e-05,0.00013176448379946594,-8.934494442623306,-10.155826801947857
2023-01-06,6.586692943863473e-05,0.0005140733770616914,-7.573144545768549,-9.627874071873618
2023-01-09,0.000140772145069653,3.21564361380691e-07,-14.950068122384542,-8.868367967124046
2023-01-10,9.978615078875682e-05,4.8838098922909295e-05,-9.926999834071708,-9.21248115392799
2023-01-11,8.832313346201485e-05,0.00015796213084681094,-8.753155231849455,-9.334508497554705
2023-01-12,0.00010202805910715676,1.3207944108975833e-05,-11.23469208295929,-9.190262693224273
2023-01-13,7.866075274393569e-05,1.4992866461339526e-05,-11.107936039225013,-9.450366221416573
2023-01-17,6.376399660314565e-05,3.362649622734589e-06,-12.602781316558763,-9.660321843465166
2023-01-18,5.352934264676499e-05,0.00025324863232781936,-8.281138815332515,-9.835280593724708
2023-01-19,0.00010018535425572177,5.338633400311694e-05,-9.837955762295234,-9.208488545109228
2023-01-20,9.747332892688216e-05,0.000340686230388706,-7.984548649762147,-9.235931766849829
2023-01-23,0.00013855612144823815,0.00014225645517203329,-8.857879106922173,-8.884235105399332
2023-01-24,0.00013585858507293228,1.153133748747758e-06,-13.673027322756374,-8.903896028851756
2023-01-25,9.892571838765978e-05,1.4037564840427613e-07,-15.77894380481191,-9.221141308776675
2023-01-26,7.091873871530609e-05,0.00011947944086340264,-9.03236624437788,-9.553975861528569
2023-01-27,8.190274385780672e-05,5.266288214130763e-06,-12.154184767257815,-9.409978065129126
2023-01-30,6.160904192980091e-05,0.0001594173522235837,-8.74398493791196,-9.69470191362191
2023-01-31,9.031816343904153e-05,0.00021305029886641933,-8.453982275219904,-9.312171972264043
2023-02-01,0.00011277097474271403,0.00011176196978504117,-9.099139218036305,-9.090151568122478
2023-02-02,0.00011154642095298627,0.00020886223785585156,-8.473835672348748,-9.101069722289061
2023-02-03,0.00012823011230542327,0.00011418996980364956,-9.077647094690287,-8.961684155681239
2023-02-06,0.00013231204457475382,3.757801180830365e-05,-10.189091470958504,-8.930347451117598
2023-02-07,0.00011537381127357311,0.00016883614208030662,-8.68658188687093,-9.067333168348632
2023-02-08,0.00012414392677218109,0.00012088983920191838,-9.020630846870223,-8.99406896567478
2023-02-09,0.0001307814365184667,7.581405460169337e-05,-9.487226865594655,-8.941983051654839
2023-02-10,0.00012512310785968645,5.434158662710133e-06,-12.122805849243178,-8.986212442443737
2023-02-13,8.96307010095694e-05,0.00013620281015051298,-8.901365531932246,-9.319812651476761
2023-02-14,9.915718091960938e-05,2.118126733380921e-07,-15.367563569223185,-9.218804280814066
2023-02-15,7.354630881554303e-05,1.0511669693112935e-05,-11.463024518603737,-9.517595298232708
2023-02-16,5.8578187792022154e-05,0.00019222544621063777,-8.556841675755251,-9.745148152652247
2023-02-17,9.367158203283866e-05,6.2569755940015236e-06,-11.981813621546749,-9.275715701456601
2023-02-21,7.621205559839806e-05,0.0004106645272685338,-7.797733912125864,-9.481990897832818
2023-02-22,0.00014441666366645555,1.9016296966948155e-06,-13.172799304333886,-8.842807938811356
2023-02-23,0.00010574311079023042,2.814347154102163e-05,-10.478195147113041,-9.154497888351667
2023-02-24,8.700192937130256e-05,0.00011533826880996219,-9.067641279340299,-9.349580262873951
2023-02-27,0.00010182728557602154,1.1559976966735873e-05,-11.367961687218925,-9.192232458563156
2023-02-28,7.829203205505677e-05,1.371205106773572e-05,-11.197235471806005,-9.45506472189455
2023-03-01,6.93469268368003e-05,1.4769457572090009e-05,-11.122949187072344,-9.576388726002186
2023-03-02,6.335384069207477e-05,6.001666223212636e-05,-9.720888330425982,-9.666775026482753
2023-03-03,6.480896122898086e-05,0.000253146857161971,-8.281540774549494,-9.644066673596612
2023-03-06,9.84930276243004e-05,4.797110731966302e-07,-14.550081845117926,-9.225524797831744
2023-03-07,7.010910531031445e-05,0.00023862386697771464,-8.340622024058646,-9.565457882054687
2023-03-08,0.00011065767760616761,2.659686056634888e-06,-12.837302465957496,-9.109069107465235
2023-03-09,7.878854958523238e-05,0.0003467888616142974,-7.966794431179501,-9.448742881491013
2023-03-10,0.00013563276033819237,0.00021125113454947286,-8.462462921093021,-8.905559616223053
2023-03-13,0.0001571387326687174,2.0345431931761355e-06,-13.105239239365744,-8.758381495231191
2023-03-14,0.00011421989689898142,0.00026879291576058483,-8.221569304719928,-9.077385047380902
2023-03-15,0.00014018437919628143,3.936166909212954e-05,-10.142718080883348,-8.872552007572077
2023-03-16,0.0001216955202402064,0.00030251759024654514,-8.103371132608643,-9.013988368506908
2023-03-17,0.0001512099217062229,0.00013833499532660994,-8.885832312064629,-8.796841476621571
2023-03-20,0.00015423623704166248,9.1578824625774e-05,-9.29831048521631,-8.777025124173099
2023-03-21,0.00013673410662164598,0.0001701754351694738,-8.678680681445494,-8.897472345561685
2023-03-22,0.00014024316992402742,0.0002956181241780504,-8.126442057582894,-8.87213271404124
2023-03-23,0.00017563776713537307,7.288766533342086e-06,-11.82917622607551,-8.647086825085719
2023-03-24,0.00012323954204958274,4.2778813836173395e-05,-10.059467581759087,-9.001380600166252
2023-03-27,0.00010339870091974781,3.489786798442903e-06,-12.565669912887339,-9.176918159607672
2023-03-28,7.481255415001432e-05,5.0491964250097366e-06,-12.196281451098983,-9.500524850836628
2023-03-29,6.253072811863828e-05,0.0002082282871276806,-8.476875545845669,-9.679852472143917
2023-03-30,8.990490229388357e-05,3.4084904569164426e-05,-10.286655952943253,-9.316758087451927
2023-03-31,7.801657284283914e-05,0.00019589440739991044,-8.537934781660642,-9.458589281499643
2023-04-03,0.00010025530505025355,1.4465582012879426e-05,-11.143738384405113,-9.207790574970696
2023-04-04,7.866981261629359e-05,3.095511425869703e-05,-10.38297232987739,-9.450251051521299
2023-04-05,7.577865807433807e-05,6.872757162668516e-06,-11.88794519852109,-9.487693860707727
2023-04-06,6.445430278266284e-05,1.5157608641937304e-05,-11.097007931489527,-9.649554069245657
