date,forecast_var,actual_var,target,log_forecast
2023-01-03,2.4856120901342842e-05,1.7799143127548947e-05,-10.936360240726694,-10.602406521814595
2023-01-04,2.769163077882395e-05,5.91442262685684e-05,-9.73553158399367,-10.494380328372442
2023-01-05,3.3932652219663436e-05,0.00013176448379946594,-8.934494442623306,-10.291132814829488
2023-01-06,6.176719276678335e-05,0.0005140733770616914,-7.573144545768549,-9.692138195836328
2023-01-09,0.00015321554037051624,3.21564361380691e-07,-14.950068122384542,-8.78366486735247
2023-01-10,0.00011881867742788425,4.8838098922909295e-05,-9.926999834071708,-9.037911945986657
2023-01-11,0.00010082360166762217,0.00015796213084681094,-8.753155231849455,-9.202138086206325
2023-01-12,0.00010866562599060507,1.3207944108975833e-05,-11.23469208295929,-9.127235042085106
2023-01-13,8.685295049541649e-05,1.4992866461339526e-05,-11.107936039225013,-9.351294093540833
2023-01-17,7.073562301787953e-05,3.362649622734589e-06,-12.602781316558763,-9.556561250318367
2023-01-18,5.837775137633925e-05,0.00025324863232781936,-8.281138815332515,-9.748575710300672
2023-01-19,0.000108438692889878,5.338633400311694e-05,-9.837955762295234,-9.129325587170031
2023-01-20,9.986373092287019e-05,0.000340686230388706,-7.984548649762147,-9.211703992054884
2023-01-23,0.0001451306483475703,0.00014225645517203329,-8.857879106922173,-8.837876198134644
2023-01-24,0.00013907935911372144,1.153133748747758e-06,-13.673027322756374,-8.880465858875773
2023-01-25,0.00010919721280974455,1.4037564840427613e-07,-15.77894380481191,-9.122355018699492
2023-01-26,8.591125385758889e-05,0.00011947944086340264,-9.03236624437788,-9.362195726407558
2023-01-27,8.971464756518739e-05,5.266288214130763e-06,-12.154184767257815,-9.3188765071896
2023-01-30,7.151917485092007e-05,0.0001594173522235837,-8.74398493791196,-9.545544964484922
2023-01-31,9.691980320325465e-05,0.00021305029886641933,-8.453982275219904,-9.241626692525083
2023-02-01,0.00011670110322118481,0.00011176196978504117,-9.099139218036305,-9.055894565235858
2023-02-02,0.00011151620801671518,0.00020886223785585156,-8.473835672348748,-9.101340614249722
2023-02-03,0.0001269627345125347,0.00011418996980364956,-9.077647094690287,-8.971616943599566
2023-02-06,0.00012849882986810585,3.757801180830365e-05,-10.189091470958504,-8.95959075975524
2023-02-07,0.00011121068960018268,0.00016883614208030662,-8.68658188687093,-9.10408405126989
2023-02-08,0.00011871128544698247,0.00012088983920191838,-9.020630846870223,-9.038816185493282
2023-02-09,0.00012380619881474853,7.581405460169337e-05,-9.487226865594655,-8.996793127765777
2023-02-10,0.00011696370952152497,5.434158662710133e-06,-12.122805849243178,-9.053646846310443
2023-02-13,9.212210745384345e-05,0.00013620281015051298,-8.901365531932246,-9.292395606006389
2023-02-14,9.777274430739546e-05,2.118126733380921e-07,-15.367563569223185,-9.232864707827678
2023-02-15,7.763833494164775e-05,1.0511669693112935e-05,-11.463024518603737,-9.463449245776381
2023-02-16,6.307459264870992e-05,0.00019222544621063777,-8.556841675755251,-9.67119252166316
2023-02-17,9.815483634084724e-05,6.2569755940015236e-06,-11.981813621546749,-9.22896436345988
