date,forecast_var,actual_var,target,log_forecast
2023-01-03,2.6831664037366798e-05,1.7799143127548947e-05,-10.936360240726694,-10.525927873930549
2023-01-04,2.9572583376778228e-05,5.91442262685684e-05,-9.73553158399367,-10.428662863128068
2023-01-05,3.584986044879011e-05,0.00013176448379946594,-8.934494442623306,-10.23617088356806
2023-01-06,6.306728293306195e-05,0.0005140733770616914,-7.573144545768549,-9.67130841839646
2023-01-09,0.00015406115878905874,3.21564361380691e-07,-14.950068122384542,-8.778160899393987
2023-01-10,0.00011574067016363577,4.8838098922909295e-05,-9.926999834071708,-9.064158471584474
2023-01-11,9.605930478427419e-05,0.00015796213084681094,-8.753155231849455,-9.250544799060945
2023-01-12,0.00010342356632966967,1.3207944108975833e-05,-11.23469208295929,-9.176677707645004
2023-01-13,8.081286495572227e-05,1.4992866461339526e-05,-11.107936039225013,-9.423374385362305
2023-01-17,6.483845087925642e-05,3.362649622734589e-06,-12.602781316558763,-9.643611752818718
2023-01-18,5.3033135000631705e-05,0.00025324863232781936,-8.281138815332515,-9.844593651070022
2023-01-19,0.00010381052715513481,5.338633400311694e-05,-9.837955762295234,-9.172943174695385
2023-01-20,9.409494592879152e-05,0.000340686230388706,-7.984548649762147,-9.271206222392486
2023-01-23,0.00013931136823239676,0.00014225645517203329,-8.857879106922173,-8.878799070799886
2023-01-24,0.00013153678315370077,1.153133748747758e-06,-13.673027322756374,-8.936224025660739
2023-01-25,0.00010048664274645034,1.4037564840427613e-07,-15.77894380481191,-9.205485747293713
2023-01-26,7.733442126184977e-05,0.00011947944086340264,-9.03236624437788,-9.467371407023867
2023-01-27,8.219044028485592e-05,5.266288214130763e-06,-12.154184767257815,-9.406471560903066
2023-01-30,6.447765268864366e-05,0.0001594173522235837,-8.74398493791196,-9.649191864140635
2023-01-31,9.057447860605312e-05,0.00021305029886641933,-8.453982275219904,-9.309338077688214
2023-02-01,0.00011052390572435753,0.00011176196978504117,-9.099139218036305,-9.110278719007992
2023-02-02,0.00010469126510751247,0.00020886223785585156,-8.473835672348748,-9.164494871385532
2023-02-03,0.00011990532479080707,0.00011418996980364956,-9.077647094690287,-9.028808086651631
2023-02-06,0.00012029418043001319,3.757801180830365e-05,-10.189091470958504,-9.025570311631634
2023-02-07,0.00010225925778412819,0.00016883614208030662,-8.68658188687093,-9.187999226463852
2023-02-08,0.00011009312641106856,0.00012088983920191838,-9.020630846870223,-9.11418394660168
2023-02-09,0.0001147534522143534,7.581405460169337e-05,-9.487226865594655,-9.072724624819479
2023-02-10,0.00010748971870067981,5.434158662710133e-06,-12.122805849243178,-9.138115354964029
2023-02-13,8.282930954322175e-05,0.00013620281015051298,-8.901365531932246,-9.398728579218595
2023-02-14,8.95168710820037e-05,2.118126733380921e-07,-15.367563569223185,-9.321083446738518
2023-02-15,6.980647466380929e-05,1.0511669693112935e-05,-11.463024518603737,-9.569783792271418
2023-02-16,5.6303010215403514e-05,0.00019222544621063777,-8.556841675755251,-9.784762556834044
2023-02-17,9.211995148005593e-05,6.2569755940015236e-06,-11.981813621546749,-9.29241900971562
2023-02-21,7.386452473144971e-05,0.0004106645272685338,-7.797733912125864,-9.513277889497605
2023-02-22,0.00015410001848284162,1.9016296966948155e-06,-13.172799304333886,-8.777908695697642
2023-02-23,0.00011739227911504801,2.814347154102163e-05,-10.478195147113041,-9.049989418362847
2023-02-24,9.399155762638172e-05,0.00011533826880996219,-9.067641279340299,-9.272305592212954
2023-02-27,0.00010166800042270003,1.1559976966735873e-05,-11.367961687218925,-9.19379795119922
2023-02-28,7.979514362759971e-05,1.371205106773572e-05,-11.197235471806005,-9.436047912157358
2023-03-01,6.703131376196442e-05,1.4769457572090009e-05,-11.122949187072344,-9.610350678174894
2023-03-02,5.8020065851320345e-05,6.001666223212636e-05,-9.720888330425982,-9.754721644295438
2023-03-03,5.676665815362797e-05,0.000253146857161971,-8.281540774549494,-9.776561408929203
2023-03-06,9.381954244051139e-05,4.797110731966302e-07,-14.550081845117926,-9.274137382068911
2023-03-07,7.281930333302356e-05,0.00023862386697771464,-8.340622024058646,-9.527529482235787
2023-03-08,0.00011422373534065304,2.659686056634888e-06,-12.837302465957496,-9.07735144222733
2023-03-09,8.777498344824991e-05,0.0003467888616142974,-7.966794431179501,-9.340734024480005
2023-03-10,0.00014945714896767687,0.00021125113454947286,-8.462462921093021,-8.80850083519822
2023-03-13,0.00016407913690681021,2.0345431931761355e-06,-13.105239239365744,-8.715161704411386
2023-03-14,0.00012496528806486186,0.00026879291576058483,-8.221569304719928,-8.987474554707608
2023-03-15,0.0001468744723844486,3.936166909212954e-05,-10.142718080883348,-8.825932265348397
2023-03-16,0.000122326410587867,0.00030251759024654514,-8.103371132608643,-9.00881758937904
2023-03-17,0.00015177404026048974,0.00013833499532660994,-8.885832312064629,-8.793117720403844
2023-03-20,0.00014914065702109836,9.1578824625774e-05,-9.29831048521631,-8.810620690460057
2023-03-21,0.00012918377873308626,0.0001701754351694738,-8.678680681445494,-8.954274526099534
2023-03-22,0.00013011722859422082,0.0002956181241780504,-8.126442057582894,-8.947074755431467
2023-03-23,0.00016913959364729368,7.288766533342086e-06,-11.82917622607551,-8.68478618607676
2023-03-24,0.0001283479673460517,4.2778813836173395e-05,-10.059467581759087,-8.960765487577735
2023-03-27,0.00010481721556722977,3.489786798442903e-06,-12.565669912887339,-9.16329252888861
2023-03-28,8.10388525391307e-05,5.0491964250097366e-06,-12.196281451098983,-9.420581857315467
2023-03-29,6.555480095993742e-05,0.0002082282871276806,-8.476875545845669,-9.632624109247594
2023-03-30,9.141685552544692e-05,3.4084904569164426e-05,-10.286655952943253,-9.30008068156727
2023-03-31,7.636870784966577e-05,0.00019589440739991044,-8.537934781660642,-9.479937528813434
2023-04-03,9.665661875372537e-05,1.4465582012879426e-05,-11.143738384405113,-9.244345872981388
2023-04-04,7.681072039851258e-05,3.095511425869703e-05,-10.38297232987739,-9.47416633902992
2023-04-05,6.938478033070252e-05,6.872757162668516e-06,-11.88794519852109,-9.575843018094247
2023-04-06,5.7748556418578e-05,1.5157608641937304e-05,-11.097007931489527,-9.759412205955703
2023-04-10,4.853775293428173e-05,1.0521686844384528e-06,-13.764657110078485,-9.933168651809446
2023-04-11,3.989555899383747e-05,7.211485502313588e-08,-16.44500578026953,-10.129245543675735
2023-04-12,3.3653819512013356e-05,1.668083844358236e-05,-11.001249895895166,-10.299384001271486
2023-04-13,3.4323250736307134e-05,0.00017411447552004641,-8.65579756978693,-10.279687569406152
2023-04-14,6.161408364711609e-05,5.981150651027234e-06,-12.026897591951688,-9.6946200829218
2023-04-17,5.184901857625246e-05,1.2827890608240525e-05,-11.263888803746859,-9.86717455160187
2023-04-18,4.390576952073539e-05,4.25489726247096e-07,-14.67002503435469,-10.03346482235601
2023-04-19,3.660694957186452e-05,2.8582753995474706e-08,-17.370462308153773,-10.215272456569
2023-04-20,3.1496280479855295e-05,2.994383039819171e-05,-10.416187251344533,-10.365641099109274
2023-04-21,3.608536290046329e-05,6.029639526896026e-07,-14.321408421957026,-10.229623234667459
2023-04-24,3.088519670985714e-05,1.0873977035218138e-06,-13.731723144135097,-10.3852335597301
2023-04-25,2.7078875452400664e-05,0.00025604063563770146,-8.270174393121684,-10.516756637650976
2023-04-26,8.359111273464109e-05,1.8015763378596368e-05,-10.924263440052151,-9.38957335052651
2023-04-27,7.112285930176108e-05,0.00038857874440667816,-7.853014720389593,-9.551101763661253
2023-04-28,0.0001309195631599306,7.223182678526573e-05,-9.535629794995174,-8.940927445031555
